column_name,column_role,data_type,baseline_missing_percent,current_missing_percent,missing_drift_percent,baseline_mean,current_mean,baseline_top_value,current_top_value,psi,ks_statistic,ks_pvalue,drift_severity
customer_id,feature,numeric,0.0,0.0,0.0,502.3,502.3,,,0.0,0.0,1.0,No Significant Drift
age,feature,numeric,0.0,0.0,0.0,34.8,34.8,,,0.0,0.0,1.0,No Significant Drift
income,feature,numeric,8.08,12.81,4.73,53664.35,47155.12,,,0.1902,0.1784,0.0,Moderate Drift
gender,feature,categorical_or_text,4.43,4.43,0.0,,,Male,Male,0.0,,,No Significant Drift
region,feature,categorical_or_text,0.0,0.0,0.0,,,West,West,0.1588,,,Moderate Drift
tenure_months,feature,numeric,0.0,0.0,0.0,35.49,35.49,,,0.0,0.0,1.0,No Significant Drift
monthly_spend,feature,numeric,2.96,2.96,0.0,2713.26,3335.78,,,0.3183,0.2315,0.0,Significant Drift
support_tickets,feature,numeric,0.0,0.0,0.0,1.92,2.94,,,0.4097,0.2611,0.0,Significant Drift
last_payment_status,feature,categorical_or_text,0.0,0.0,0.0,,,paid,paid,0.087,,,No Significant Drift
churn,target,numeric,0.0,0.0,0.0,0.2,0.26,,,0.0231,0.064,0.03111,No Significant Drift
